ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1372	"ENSG00000273559.4"	"CWC25"	chr17	-	38810275	38810595	38810467	38810595	38809701	38809765	1372	49,46,27	92,85,60	92,91,121	32,30,26	281	89	0.0	0.0	0.144,0.146,0.125	0.477,0.49,0.596	-0.383
1378	"ENSG00000085662.13"	"AKR1B1"	chr7	-	134447460	134448061	134447979	134448061	134447297	134447381	1378	19,5,8	215,206,83	123,28,29	157,73,139	608	89	0.0	0.0	0.013,0.004,0.014	0.103,0.053,0.03	-0.052
151	"ENSG00000092199.17"	"HNRNPC"	chr14	-	21230957	21231072	21230996	21231072	21230318	21230366	151	3028,3030,1184	2170,1910,852	639,883,926	1298,1846,2166	128	89	0.0	0.0	0.492,0.524,0.491	0.255,0.25,0.229	0.258
1820	"ENSG00000109184.14"	"DCUN1D4"	chr4	+	51886567	51887244	51886567	51886638	51891759	51891851	1820	26,8,2	148,100,67	23,38,85	58,67,73	695	89	0.0	0.0	0.022,0.01,0.004	0.048,0.068,0.13	-0.07
1890	"ENSG00000214063.10"	"TSPAN4"	chr11	+	862549	864352	862549	862741	864436	864511	1890	26,29,16	111,152,57	39,64,81	22,51,102	1700	89	0.0	0.0	0.012,0.01,0.014	0.085,0.062,0.04	-0.05
2108	"ENSG00000135506.15"	"OS9"	chr12	+	57718992	57720263	57718992	57719182	57720405	57720518	2108	357,358,122	195,201,119	409,557,583	82,78,127	1170	89	0.0	0.0	0.122,0.119,0.072	0.275,0.352,0.259	-0.191
2191	"ENSG00000148303.16"	"RPL7A"	chr9	+	133348217	133348573	133348217	133348246	133348921	133349042	2191	170,126,69	442,522,240	9,29,20	362,562,780	416	89	0.0	0.0	0.076,0.049,0.058	0.005,0.011,0.005	0.054
2550	"ENSG00000161970.12"	"RPL26"	chr17	-	8382774	8383193	8383156	8383193	8382142	8382315	2550	853,975,458	3254,3332,1824	178,156,207	3137,3511,3506	471	89	0.0	0.0	0.047,0.052,0.045	0.011,0.008,0.011	0.038
2751	"ENSG00000108773.10"	"KAT2A"	chr17	-	42119053	42119436	42119244	42119436	42118296	42118403	2751	74,82,29	157,161,86	161,108,183	56,52,87	280	89	0.0	0.0	0.13,0.139,0.097	0.477,0.398,0.401	-0.303
2821	"ENSG00000168522.12"	"FNTA"	chr8	+	43077215	43080441	43077215	43077364	43083117	43083180	2821	523,568,186	286,264,105	150,269,333	240,379,423	3166	89	0.0	0.0	0.049,0.057,0.047	0.017,0.02,0.022	0.031
3449	"ENSG00000130254.11"	"SAFB2"	chr19	-	5616127	5616335	5616131	5616335	5613464	5613527	3449	9,3,10	191,173,70	29,30,46	55,66,84	93	89	0.0	0.0	0.043,0.016,0.12	0.335,0.303,0.344	-0.268
4037	"ENSG00000162910.18"	"MRPL55"	chr1	-	228108436	228109021	228108954	228109021	228108234	228108318	4037	137,196,71	66,77,67	177,231,227	14,13,16	607	89	0.0	0.0	0.233,0.272,0.134	0.65,0.723,0.675	-0.47
406	"ENSG00000197958.12"	"RPL12"	chr9	-	127451049	127451405	127451280	127451405	127450730	127450804	406	451,483,232	4612,4496,1991	192,223,228	4438,5509,5268	320	89	0.0	0.0	0.026,0.029,0.031	0.012,0.011,0.012	0.017
4100	"ENSG00000134686.17"	"PHC2"	chr1	-	33334089	33334292	33334184	33334292	33332274	33332404	4100	563,541,211	59,69,28	761,727,933	6,13,22	184	89	0.0	0.0	0.822,0.791,0.785	0.984,0.964,0.954	-0.168
