ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IC_SAMPLE_1	SC_SAMPLE_1	IC_SAMPLE_2	SC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
101	"ENSG00000134440.11"	"NARS"	chr18	-	57602354	57602943	57602354	57602486	57602811	57602943	101	189,150,81	1227,1391,568	143,217,251	365,378,512	414	89	0.0	0.0	0.032,0.023,0.03	0.078,0.11,0.095	-0.066
1040	"ENSG00000234741.7"	"GAS5"	chr1	-	173863900	173864304	173863900	173864075	173864256	173864304	1040	481,345,165	998,1010,378	108,201,263	841,1408,1029	270	89	0.0	0.0	0.137,0.101,0.126	0.041,0.045,0.078	0.067
1047	"ENSG00000115942.8"	"ORC2"	chr2	-	200913294	200913992	200913294	200913413	200913930	200913992	1047	55,65,50	145,162,83	84,167,176	41,44,77	606	89	0.0	0.0	0.053,0.056,0.081	0.231,0.358,0.251	-0.217
1063	"ENSG00000162909.17"	"CAPN2"	chr1	+	223769840	223770525	223769840	223769909	223770446	223770525	1063	95,96,25	1230,1339,637	224,289,479	636,770,1135	626	89	0.0	0.0	0.011,0.01,0.006	0.048,0.051,0.057	-0.043
1131	"ENSG00000100151.15"	"PICK1"	chr22	+	38073772	38074451	38073772	38073823	38074306	38074451	1131	64,58,18	74,66,29	116,96,173	16,26,35	572	89	0.0	0.0	0.119,0.12,0.088	0.53,0.365,0.435	-0.334
1142	"ENSG00000148688.13"	"RPP30"	chr10	+	90894774	90895483	90894774	90894891	90895453	90895483	1142	55,58,12	342,249,144	40,76,110	82,104,101	651	89	0.0	0.0	0.022,0.031,0.011	0.063,0.091,0.13	-0.073
1147	"ENSG00000112739.16"	"PRPF4B"	chr6	+	4056320	4057187	4056320	4056435	4057035	4057187	1147	20,15,7	301,303,102	45,88,129	61,102,133	689	89	0.0	0.0	0.009,0.006,0.009	0.087,0.1,0.111	-0.091
118	"ENSG00000221968.8"	"FADS3"	chr11	-	61876358	61876963	61876358	61876455	61876865	61876963	118	182,206,52	77,89,37	493,504,665	50,36,34	499	89	0.0	0.0	0.297,0.292,0.2	0.637,0.714,0.777	-0.446
1195	"ENSG00000166140.17"	"ZFYVE19"	chr15	+	40813942	40814569	40813942	40814070	40814147	40814569	1195	39,28,8	38,35,7	116,125,92	14,18,18	166	89	0.0	0.0	0.355,0.3,0.38	0.816,0.788,0.733	-0.434
1246	"ENSG00000014216.15"	"CAPN1"	chr11	+	65210813	65212005	65210813	65210872	65211259	65212005	1246	13,12,6	411,389,206	53,90,58	326,270,463	476	89	0.0	0.0	0.006,0.006,0.005	0.03,0.059,0.023	-0.032
1253	"ENSG00000121073.13"	"SLC35B1"	chr17	-	49705865	49706309	49705865	49705896	49706203	49706309	1253	29,23,11	489,472,213	20,41,45	117,129,131	396	89	0.0	0.0	0.013,0.011,0.011	0.037,0.067,0.072	-0.047
1367	"ENSG00000140553.16"	"UNC45A"	chr15	+	90948141	90948794	90948141	90948283	90948653	90948794	1367	26,23,10	284,265,113	95,111,113	223,251,279	459	89	0.0	0.0	0.017,0.017,0.017	0.076,0.079,0.073	-0.059
1391	"ENSG00000105655.18"	"ISYNA1"	chr19	-	18437598	18437988	18437598	18437760	18437859	18437988	1391	70,57,31	242,194,92	392,216,250	195,169,197	188	89	0.0	0.0	0.12,0.122,0.138	0.488,0.377,0.375	-0.287
1501	"ENSG00000100650.15"	"SRSF5"	chr14	+	69768797	69769251	69768797	69768896	69769181	69769251	1501	137,108,73	1354,1227,598	133,181,267	322,327,444	374	89	0.0	0.0	0.024,0.021,0.028	0.089,0.116,0.125	-0.086
1502	"ENSG00000100650.15"	"SRSF5"	chr14	+	69769181	69770540	69769181	69769251	69770466	69770540	1502	1650,1724,806	1128,995,490	1380,1537,2767	145,136,213	1304	89	0.0	0.0	0.091,0.106,0.101	0.394,0.435,0.47	-0.334
1617	"ENSG00000085662.13"	"AKR1B1"	chr7	-	134447297	134448061	134447297	134447381	134447979	134448061	1617	24,5,8	215,206,83	148,38,39	157,73,139	687	89	0.0	0.0	0.014,0.003,0.012	0.109,0.063,0.035	-0.059
169	"ENSG00000161249.20"	"DMKN"	chr19	-	35499957	35500580	35499957	35500029	35500532	35500580	169	131,119,63	279,299,134	98,172,256	70,101,132	592	89	0.0	0.0	0.066,0.056,0.066	0.174,0.204,0.226	-0.139
171	"ENSG00000161249.20"	"DMKN"	chr19	-	35510183	35510510	35510183	35510252	35510378	35510510	171	806,880,442	245,293,105	576,683,626	47,83,72	215	89	0.0	0.0	0.577,0.554,0.635	0.835,0.773,0.783	-0.208
1725	"ENSG00000168906.12"	"MAT2A"	chr2	+	85542154	85542747	85542154	85542373	85542564	85542747	1725	294,205,93	1225,1126,541	207,253,355	325,306,369	280	89	0.0	0.0	0.071,0.055,0.052	0.168,0.208,0.234	-0.144
1726	"ENSG00000123136.14"	"DDX39A"	chr19	-	14409741	14410334	14409741	14409873	14410215	14410334	1726	301,297,99	701,713,317	200,241,257	251,214,218	431	89	0.0	0.0	0.081,0.079,0.061	0.141,0.189,0.196	-0.102
1777	"ENSG00000136908.17"	"DPM2"	chr9	-	127936552	127937523	127936552	127936655	127937433	127937523	1777	359,361,131	254,228,136	273,385,376	77,81,112	867	89	0.0	0.0	0.127,0.14,0.09	0.267,0.328,0.256	-0.165
184	"ENSG00000148444.15"	"COMMD3"	chr10	+	22318271	22318713	22318271	22318306	22318652	22318713	184	55,44,13	300,258,138	52,117,107	79,152,118	435	89	0.0	0.0	0.036,0.034,0.019	0.119,0.136,0.156	-0.107
1946	"ENSG00000133226.16"	"SRRM1"	chr1	+	24646666	24649029	24646666	24646789	24648858	24649029	1946	80,83,32	945,840,407	243,398,818	292,278,568	2158	89	0.0	0.0	0.003,0.004,0.003	0.033,0.056,0.056	-0.045
1956	"ENSG00000111300.9"	"NAA25"	chr12	-	112039228	112040578	112039228	112039339	112040480	112040578	1956	30,18,10	112,72,30	64,125,188	45,82,106	1230	89	0.0	0.0	0.019,0.018,0.024	0.093,0.099,0.114	-0.082
1968	"ENSG00000168488.18"	"ATXN2L"	chr16	+	28835932	28836485	28835932	28836122	28836448	28836485	1968	530,489,168	32,38,33	498,625,906	3,1,3	415	89	0.0	0.0	0.78,0.734,0.522	0.973,0.993,0.985	-0.305
1972	"ENSG00000168488.18"	"ATXN2L"	chr16	+	28835932	28837237	28835932	28836485	28836727	28837237	1972	344,373,138	58,70,34	495,517,753	9,7,6	331	89	0.0	0.0	0.615,0.589,0.522	0.937,0.952,0.971	-0.378
2014	"ENSG00000132424.14"	"PNISR"	chr6	-	99403828	99404702	99403828	99403882	99404602	99404702	2014	195,213,58	203,170,64	352,532,883	58,44,75	809	89	0.0	0.0	0.096,0.121,0.091	0.4,0.571,0.564	-0.409
2082	"ENSG00000198000.11"	"NOL8"	chr9	-	92298256	92298954	92298256	92298336	92298883	92298954	2082	37,25,10	186,182,124	21,41,54	22,36,81	636	89	0.0	0.0	0.027,0.019,0.011	0.118,0.137,0.085	-0.094
2106	"ENSG00000013275.7"	"PSMC4"	chr19	+	39980069	39980454	39980069	39980146	39980285	39980454	2106	26,29,19	894,986,543	39,45,45	238,217,321	228	89	0.0	0.0	0.011,0.011,0.013	0.06,0.075,0.052	-0.051
2113	"ENSG00000170889.13"	"RPS9"	chr19	+	54206552	54207647	54206552	54206724	54207397	54207647	2113	604,773,308	91,97,45	198,278,315	127,179,111	762	89	0.0	0.0	0.437,0.482,0.444	0.154,0.154,0.249	0.269
215	"ENSG00000131051.21"	"RBM39"	chr20	-	35738967	35740887	35738967	35739017	35740823	35740887	215	338,317,130	482,416,194	402,852,1271	179,282,221	1895	89	0.0	0.0	0.032,0.035,0.031	0.095,0.124,0.213	-0.111
2188	"ENSG00000174021.10"	"GNG5"	chr1	-	84506010	84506565	84506010	84506301	84506435	84506565	2188	31,32,26	87,120,39	9,6,7	143,169,152	223	89	0.0	0.0	0.125,0.096,0.21	0.025,0.014,0.018	0.125
2289	"ENSG00000197948.10"	"FCHSD1"	chr5	-	141646086	141646722	141646086	141646191	141646602	141646722	2289	54,19,8	38,26,14	171,166,214	28,25,29	500	89	0.0	0.0	0.202,0.115,0.092	0.521,0.542,0.568	-0.407
2402	"ENSG00000094631.18"	"HDAC6"	chrX	+	48805630	48806464	48805630	48805671	48806367	48806464	2402	26,38,23	59,51,14	222,228,302	34,31,39	785	89	0.0	0.0	0.048,0.078,0.157	0.425,0.455,0.468	-0.355
2462	"ENSG00000143774.16"	"GUK1"	chr1	+	228145510	228146067	228145510	228145624	228146025	228146067	2462	62,60,28	392,403,192	145,203,293	333,398,382	490	89	0.0	0.0	0.028,0.026,0.026	0.073,0.085,0.122	-0.067
256	"ENSG00000102119.10"	"EMD"	chrX	+	154379941	154380367	154379941	154380019	154380233	154380367	256	76,104,31	427,451,175	210,228,276	266,269,337	303	89	0.0	0.0	0.05,0.063,0.049	0.188,0.199,0.194	-0.14
2651	"ENSG00000198258.10"	"UBL5"	chr19	+	9828326	9828675	9828326	9828393	9828591	9828675	2651	190,188,67	1631,1559,740	47,38,28	1031,1107,966	287	89	0.0	0.0	0.035,0.036,0.027	0.014,0.011,0.009	0.021
2756	"ENSG00000004534.14"	"RBM6"	chr3	+	50061461	50062108	50061461	50061547	50061961	50062108	2756	54,23,37	167,153,73	97,132,149	67,65,96	503	89	0.0	0.0	0.054,0.026,0.082	0.204,0.264,0.215	-0.174
284	"ENSG00000144354.13"	"CDCA7"	chr2	+	173363817	173364989	173363817	173363895	173364794	173364989	284	155,163,62	391,422,159	86,117,164	41,79,122	988	89	0.0	0.0	0.034,0.034,0.034	0.159,0.118,0.108	-0.094
2947	"ENSG00000003756.16"	"RBM5"	chr3	+	50100531	50103166	50100531	50100605	50103082	50103166	2947	163,192,96	130,120,43	230,603,898	12,28,38	2566	89	0.0	0.0	0.042,0.053,0.072	0.399,0.428,0.45	-0.37
2970	"ENSG00000119707.13"	"RBM25"	chr14	+	73110830	73111802	73110830	73111155	73111527	73111802	2970	88,82,34	514,550,263	94,151,297	182,170,245	461	89	0.0	0.0	0.032,0.028,0.024	0.091,0.146,0.19	-0.114
3098	"ENSG00000108591.9"	"DRG2"	chr17	+	18099016	18100435	18099016	18099077	18099632	18100435	3098	27,44,39	121,141,68	46,61,80	33,32,41	644	89	0.0	0.0	0.03,0.041,0.073	0.162,0.209,0.212	-0.146
3139	"ENSG00000006015.17"	"C19orf60"	chr19	+	18590853	18592336	18590853	18590933	18592107	18592336	3139	269,202,111	128,177,74	22,48,50	98,94,92	1263	89	0.0	0.0	0.129,0.074,0.096	0.016,0.035,0.037	0.07
3153	"ENSG00000147140.15"	"NONO"	chrX	+	71297835	71298508	71297835	71297938	71298468	71298508	3153	563,585,272	2441,2473,1068	591,762,770	1033,1171,1339	619	89	0.0	0.0	0.032,0.033,0.035	0.076,0.086,0.076	-0.046
3173	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439580	16440253	16439580	16439703	16440184	16440253	3173	1138,1066,507	835,901,429	258,326,386	706,1012,785	570	89	0.0	0.0	0.175,0.156,0.156	0.054,0.048,0.071	0.105
3177	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439326	16439703	16439326	16439414	16439527	16439703	3177	213,202,96	506,507,243	59,47,83	393,553,512	202	89	0.0	0.0	0.156,0.149,0.148	0.062,0.036,0.067	0.096
3281	"ENSG00000158828.6"	"PINK1"	chr1	+	20648504	20649231	20648504	20648632	20648994	20649231	3281	160,190,91	97,36,17	73,97,101	273,240,238	451	89	0.0	0.0	0.246,0.51,0.514	0.05,0.074,0.077	0.356
3404	"ENSG00000115204.14"	"MPV17"	chr2	-	27312213	27312589	27312213	27312246	27312493	27312589	3404	33,36,15	108,118,66	49,75,121	17,32,55	336	89	0.0	0.0	0.075,0.075,0.057	0.433,0.383,0.368	-0.326
3407	"ENSG00000213780.10"	"GTF2H4"	chr6	+	30913109	30913387	30913109	30913157	30913308	30913387	3407	43,53,13	173,194,88	74,63,87	32,42,43	240	89	0.0	0.0	0.084,0.092,0.052	0.462,0.357,0.429	-0.34
3437	"ENSG00000103507.13"	"BCKDK"	chr16	+	31109672	31110124	31109672	31109783	31110076	31110124	3437	17,16,9	201,158,70	70,105,99	145,158,308	382	89	0.0	0.0	0.019,0.023,0.029	0.101,0.134,0.07	-0.078
3502	"ENSG00000160613.12"	"PCSK7"	chr11	-	117223207	117224216	117223207	117223308	117224077	117224216	3502	34,22,11	93,79,41	33,39,61	23,16,24	858	89	0.0	0.0	0.037,0.028,0.027	0.13,0.202,0.209	-0.15
3513	"ENSG00000115875.18"	"SRSF7"	chr2	-	38748578	38749705	38748578	38748653	38749528	38749705	3513	895,730,341	1779,1672,742	292,594,674	255,314,340	964	89	0.0	0.0	0.044,0.039,0.041	0.096,0.149,0.155	-0.092
3576	"ENSG00000148985.19"	"PGAP2"	chr11	+	3823882	3824376	3823882	3824135	3824269	3824376	3576	15,5,3	101,101,34	29,28,28	23,35,34	223	89	0.0	0.0	0.056,0.019,0.034	0.335,0.242,0.247	-0.238
